"","from","V1","reason"
"1192","toivnoraf","cherylmills",NA
"1194","toivnoraf","cherylmills",NA
"1195","campbellkurtm","valmorolona",NA
"1196","toivnoraf","cherylmills",NA
"1197","humaabedin","campbellkurtm",NA
"1198","campbellkurtm","valmorolona",NA
"1199","opsnewsticker","newsmahogany",NA
"1200","toivnoraf","cherylmills",NA
"1205","toivnoraf","cherylmills",NA
"1207","campbellkurtm","daileyjohn",NA
"1208","shermanwendyr","cherylmills",NA
"1212","toivnoraf","cherylmills",NA
"1216","campbellkurtm","daileyjohn",NA
"1217","feldmandanielf","sullivanjacob","1.4(D)"
"1218","opsnewsticker","newsmahogany",NA
"1225","feltmanjeffreyd","sullivanjacob",NA
"1226","feltmanjeffreyd","humaabedin","1.4(D)"
"1227","humaabedin","feltmanjeffreyd","1.4(D)"
"1230","humaabedin","marshallcapriciap",NA
"1231","humaabedin","brimmerestherd",NA
"1232","humaabedin","brimmerestherd",NA
"1233","brimmerestherd","humaabedin",NA
"1234","opsnewsticker","newsmahogany",NA
"1238","cherylmills","valmorolona",NA
"1239","sullivanjacob","cherylmills",NA
"1240","cherylmills","sullivanjacob",NA
"1241","mullstephend","cherylmills",NA
"1242","opsnewsticker","newsmahogany",NA
"1244","curtismeghanna","cherylmills",NA
"1245","kennedypatrickf","cherylmills",NA
"1246","opsnewsticker","newsaf",NA
"1247","mertenkennethh","cherylmills",NA
"1249","feldmandanielf","sullivanjacob",NA
"1250","sullivanjacob","feldmandanielf",NA
"1251","toivnoraf","cherylmills",NA
"1254","opsnewsticker","newsmahogany",NA
"1257","cherylmills","valmorolona",NA
"1258","klevorickcaitlinb","stockann",NA
"1259","cherylmills","karentramontano",NA
"1264","toivnoraf","cherylmills",NA
"1267","humaabedin","brimmerestherd",NA
"1268","humaabedin","brimmerestherd",NA
"1269","brimmerestherd","humaabedin",NA
"1271","toivnoraf","cherylmills",NA
"1272","kennedypatrickf","cherylmills",NA
"1275","opsnewsticker","newssgwi",NA
"1276","reynosojulissa","cherylmills",NA
"1277","jacobsonrobertas","shermanwendyr",NA
"1278","opsnewsticker","newswha",NA
"1279","verveermelannes","sullivanjacob",NA
"1280","verveermelannes","crockerryanc",NA
"1281","verveermelannes","crockerryanc",NA
"1282","verveermelannes","grossmanmarci",NA
"1293","goosbyeric","cherylmills",NA
"1294","curtismeghanna","cherylmills",NA
"1302","curtismeghanna","cherylmills",NA
"1303","cherylmills","curtismeghanna",NA
"1304","curtismeghanna","cherylmills",NA
"1305","cherylmills","curtismeghanna",NA
"1306","curtismeghanna","cherylmills",NA
"1307","cherylmills","curtismeghanna",NA
"1308","curtismeghanna","cherylmills",NA
"1317","sullivanjacob","annemarieslaughter",NA
"1319","russorobertv","cherylmills",NA
"1327","opsnewsticker","newsmahogany",NA
"1334","opsnewsticker","syriaunrest",NA
"1337","valmorolona","humaabedin",NA
"1338","humaabedin","valmorolona",NA
"1345","valmorolona","humaabedin",NA
"1346","humaabedin","valmorolona",NA
"1364","humaabedin","valmorou",NA
"1377","goosbyeric","cherylmills",NA
"1381","feltmanjeffreyd","fogartydaniel",NA
"1382","cherylmills","valmorolona",NA
"1387","opsnewsticker","newsmahogany",NA
"1388","cherylmills","adamsdavids",NA
"1390","colemanclairel","humaabedin",NA
"1391","colemanclairel","humaabedin",NA
"1392","colemanclairel","cherylmills",NA
"1393","cherylmills","royspence",NA
"1396","cherylmills","solomontaland",NA
"1400","opsnewsticker","newsmahogany",NA
"1410","shannonthomasa","cherylmills",NA
"1415","valmorolona","ih",NA
"1423","ricesusane","verveermelannes",NA
"1424","opsnewsticker","newsmahogany",NA
"1425","cherylmills","ryurexony",NA
"1426","cherylmills","ryurexony",NA
"1427","cherylmills","ryurexony",NA
"1428","verveermelannes","cherylmills",NA
"1430","cherylmills","adamsdavids",NA
"1431","cherylmills","verveermelannes",NA
"1432","ricesusane","verveermelannes",NA
"1433","opsnewsticker","newsmahogany",NA
"1435","cherylmills","verveermelannes",NA
"1436","verveermelannes","cherylmills",NA
"1440","wellsaliceg","hanleymonicarh",NA
"1442","cherylmills","adamsdavids",NA
"1444","opsnewsticker","newsafghanistan",NA
"1445","verveermelannes","cherylmills",NA
"1449","opsnewsticker","newsmahogany",NA
"1450","opsnewsticker","newsmahogany",NA
"1451","opsnewsticker","newsafghanistan",NA
"1452","feldmandanielf","sullivanjacob",NA
"1453","opsnewsticker","newsmahogany",NA
"1454","wellsaliceg","hanleymonicar",NA
"1455","toivnoraf","cherylmills",NA
"1457","opsnewsticker","newsmahogany",NA
"1458","opsnewsticker","newsmahogany",NA
"1460","opsnewsticker","newsmahogany",NA
"1462","feltmanjeffreyd","sullivanjacob","1.4(B),1.4(D)"
"1466","opsnewsticker","newsmahogany",NA
"1468","opsnewsticker","newsmahogany",NA
"1469","opsnewsticker","newsmahogany",NA
"1470","opsnewsticker","newsmahogany",NA
"1471","opsnewsticker","newsmahogany",NA
"1472","opsnewsticker","newsmahogany",NA
"1473","hanleymonicar","hi",NA
"1474","opsnewsticker","newsmahogany",NA
"1477","annemarieslaughter","annemarieslaughter",NA
"1478","opsnewsticker","newseur",NA
"1480","opsnewsticker","newsmahogany",NA
"1481","cherylmills","cherylmills",NA
"1482","opsnewsticker","syriaunrest",NA
"1483","opsnewsticker","newsmahogany",NA
"1484","opsnewsticker","newsmahogany",NA
"1489","opsnewsticker","newsmahogany",NA
"1490","opsnewsticker","newseur",NA
"1491","opsnewsticker","newsmahogany",NA
"1492","opsnewsticker","newsmahogany",NA
"1493","opsnewsticker","newsmahogany",NA
"1495","opsnewsticker","newsafghanistan",NA
"1496","opsnewsticker","newsmahogany",NA
"1497","opsnewsticker","newschina",NA
"1498","opsnewsticker","newsmahogany",NA
"1499","opsnewsticker","newsmahogany",NA
"1502","opsnewsticker","newsmahogany",NA
"1503","opsnewsticker","newsmahogany",NA
"1504","opsnewsticker","newswha",NA
"1505","opsnewsticker","newsmahogany",NA
"1506","opsnewsticker","newsmahogany",NA
"1510","sterntoddd","sullivanjacob",NA
"1511","opsnewsticker","newsmahogany",NA
"1512","opsnewsticker","syriaunrest",NA
"1513","opsnewsticker","newsaf",NA
"1514","opsnewsticker","newsaf",NA
"1515","opsnewsticker","newsmahogany",NA
"1516","opsnewsticker","newsmahogany",NA
"1517","evergreen","pir",NA
"1521","haledavidm","sullivanjacob",NA
"1522","opsnewsticker","newsmahogany",NA
"1525","opsnewsticker","newseap",NA
"1529","opsnewsticker","syriaunrest",NA
"1530","sullivanjacob","ii",NA
"1531","feltmanjeffreyd","sullivanjacob",NA
"1532","feltmanjeffreyd","sullivanjacob",NA
"1537","abbaszadehnima","cherylmills",NA
"1538","posnermichaelh","cherylmills",NA
"1540","wellsaliceg","cherylmills",NA
"1541","opsnewsticker","newsmahogany",NA
"1542","opsnewsticker","newsmahogany",NA
"1543","toivnoraf","cherylmills",NA
"1544","haledavidm","sullivanjacob",NA
"1545","valmorolona","sullivanjacob",NA
"1547","campbellkurtm","sullivanjacob",NA
"1551","opsnewsticker","newsmahogany",NA
"1552","abbaszadehnima","cherylmills",NA
"1556","campbellkurtm","sullivanjacob",NA
"1558","opsnewsticker","newsmahogany",NA
"1561","feltmanjeffreyd","sullivanjacob",NA
"1564","sterntoddd","sullivanjacob",NA
"1565","mertenkennethh","cherylmills",NA
"1566","louispierrea","mertenkennethh",NA
"1567","opsnewsticker","newsmahogany",NA
"1573","opsnewsticker","newsmahogany",NA
"1582","campbellkurtm","sullivanjacob",NA
"1587","valmorolona","cherylmills",NA
"1588","cherylmills","ihdr@dintonemailcomi",NA
"1590","shermanwendyr","reynosojulissa",NA
"1591","reynosojulissa","shermanwendyr",NA
"1592","cherylmills","class","1.4(D)"
"1593","opsnewsticker","newswha",NA
"1598","hammermichaela","cherylmills",NA
"1601","annemarieslaughter","terrybmurphy",NA
"1602","opsnewsticker","newssca",NA
"1604","opsnewsticker","newsmahogany",NA
"1610","opsnewsticker","syriaunrest",NA
"1612","hammermichaela","cherylmills",NA
"1613","hammermichaela","cherylmills",NA
"1614","cherylmills","hammermichaela",NA
"1615","hammermichaela","cherylmills",NA
"1616","cherylmills","stockann",NA
"1617","jacobsonrobertas","reynosojulissa",NA
"1618","reynosojulissa","cherylmills",NA
"1619","cherylmills","reynosojulissa",NA
"1620","reynosojulissa","shermanwendyr",NA
"1621","gordonphiliph","burnswilliam",NA
"1622","feltmanjeffreyd","cretzgenea",NA
"1628","hammermichaela","cherylmills",NA
"1629","cherylmills","hammermichaela",NA
"1630","hammermichaela","cherylmills",NA
"1631","hammermichaela","cherylmills",NA
"1632","opsnewsticker","newsmahogany",NA
"1634","rooneymegan","cherylmills",NA
"1635","shermanwendyr","cherylmills",NA
"1636","toivnoraf","cherylmills",NA
"1637","opsnewsticker","newsmahogany",NA
"1638","valmorolona","cherylmills",NA
"1639","cherylmills","valmorolona",NA
"1644","hammermichaela","cherylmills",NA
"1645","hammermichaela","cherylmills",NA
"1646","cherylmills","hammermichaela",NA
"1647","hammermichaela","cherylmills",NA
"1648","cherylmills","stockann",NA
"1649","gordonphiliph","sullivanjacob","1.4(D),B1"
"1660","opsnewsticker","newsmahogany",NA
"1664","cherylmills","warnholzjeanlouis",NA
"1671","kennedypatrickf","cherylmills",NA
"1672","cherylmills","kennedypatrickf",NA
"1673","kennedypatrickf","cherylmills",NA
"1674","kennedypatrickf","cherylmills",NA
"1675","opsnewsticker","newsmahogany",NA
"1680","toivnoraf","cherylmills",NA
"1686","kennedypatrickf","millscheryl",NA
"1687","kennedypatrickf","cherylmills",NA
"1690","hammermichaela","cherylmills",NA
"1695","shermanwendyr","jacobsonrobertas",NA
"1697","feltmanjeffreyd","sullivanjacob","1.4(B),1.4(D)"
"1698","hoffredericc","feltmanjeffreyd","1.4(B),1.4(D)"
"1699","hoffredericc","dibbleelizabethl","1.4(B),1.4(D)"
"1700","hoffredericc","ricesusane","1.4(B),1.4(D)"
"1701","ricesusane","dicarlorosemarya","1.4(B),1.4(D)"
"1702","russorobertv","mon",NA
"1703","opsnewsticker","newsmahogany",NA
"1704","opsnewsticker","newsh",NA
"1728","toivnoraf","cherylmills",NA
"1730","valmorolona","hcrahedinhuma",NA
"1731","sullivanjacob","annemarieslaughter",NA
"1735","toivnoraf","cherylmills",NA
"1738","hammermichaela","cherylmills",NA
"1753","wellsaliceg","humaabedin",NA
"1754","ricesusane","cherylmills",NA
"1755","cherylmills","ricesusane",NA
"1773","opsnewsticker","newschina",NA
"1778","kohharoldhongju","cherylmills",NA
"1779","opsnewsticker","newshaiti",NA
"1782","feldmandanielf","grossmanmarci",NA
"1787","annemarieslaughter","humaabedin",NA
"1788","annemarieslaughter","humaabedin",NA
"1791","feldmandanielf","sullivanjacob","1.4(B),1.4(D)"
"1792","opsnewsticker","newspakistan",NA
"1799","meehanbernadettem","sullivanjacob",NA
"1800","opsnewsticker","newsmahogany",NA
"1801","opsnewsticker","newsmahogany",NA
"1803","toivnoraf","cherylmills",NA
"1806","opsnewsticker","news",NA
"1807","opsnewsticker","newseur",NA
"1808","opsnewsticker","newsmahogany",NA
"1811","opsnewsticker","newseur",NA
"1813","opsnewsticker","newsmahogany",NA
"1818","opsnewsticker","newsmahogany",NA
"1824","opsnewsticker","newsmahogany",NA
"1825","opsnewsticker","newsmahogany",NA
"1826","toivnoraf","cherylmills",NA
"1828","opsnewsticker","newsmahogany",NA
"1829","opsnewsticker","newsmahogany",NA
"1830","opsnewsticker","newsmahogany",NA
"1831","feltmanjeffreyd","pattersonannew",NA
"1832","feltmanjeffreyd","sullivanjacob","1.4(D)"
"1833","opsnewsticker","newschina","1.4(D)"
"1836","opsnewsticker","newsmahogany",NA
"1840","opsnewsticker","newsmahogany",NA
"1842","opsnewsticker","newsi",NA
"1843","posnermichaelh","cherylmills",NA
"1844","posnermichaelh","drlusersdl",NA
"1845","opsnewsticker","newsmahogany",NA
"1847","goosbyeric","cherylmills",NA
"1850","opsnewsticker","newsmahogany",NA
"1851","opsnewsticker","newsmahogany",NA
"1854","opsnewsticker","newsmahogany",NA
"1855","humaabedin","russorv",NA
"1856","russorobertv","humaabedin",NA
"1869","opsnewsticker","newsmahogany",NA
"1873","russorobertv","humaabedin",NA
"1878","opsnewsticker","newsmahogany",NA
"1880","toivnoraf","cherylmills",NA
"1881","rossalec","cherylmills",NA
"1885","opsnewsticker","syriaunrest",NA
"1888","opsnewsticker","newsmahogany",NA
"1889","opsnewsticker","newsmahogany",NA
"1890","opsnewsticker","newsafghanistan",NA
"1891","opsnewsticker","newsmahogany",NA
"1894","opsnewsticker","newsmahogany",NA
"1896","cherylmills","cherylmills",NA
"1903","opsnewsticker","newsmahogany",NA
"1908","campbellkurtm","murphyerinl",NA
"1909","sullivanjacob","campbellkurtm",NA
"1910","campbellkurtm","mitchellderek",NA
"1913","nidesthomasr","hormatsrobertd",NA
"1914","abbaszadehnima","wellsaliceg",NA
"1915","opsalert","ses_dutydeputies",NA
"1917","opsnewsticker","newseur",NA
"1918","opsnewsticker","newsmahogany",NA
"1919","opsnewsticker","newsmahogany",NA
"1924","opsnewsticker","newsmahogany",NA
"1933","opsnewsticker","newsmahogany",NA
"1938","opsnewsticker","newsmahogany",NA
"1941","opsnewsticker","newsmahogany",NA
"1943","feldmandanielf","nidesthomasr",NA
"1944","feldmandanielf","grossmanmarci",NA
"1946","opsnewsticker","newsmahogany",NA
"1949","opsnewsticker","newsmahogany",NA
"1950","opsnewsticker","newsmahogany",NA
"1951","opsnewsticker","newsmahogany",NA
"1959","carsonjohnnie","cherylmills",NA
"1960","cherylmills","carsonjohnnie",NA
"1961","carsonjohnnie","cherylmills",NA
"1962","cherylmills","carsonjohnnie",NA
"1963","opsnewsticker","newsi",NA
"1964","abbaszadehnima","wellsaliceg",NA
"1965","opsalert","ses_dutydeputies",NA
"1966","opsalert","ses_dutydeputies",NA
"1969","toivnoraf","cherylmills",NA
"1972","opsnewsticker","newsmahogany",NA
"1973","opsnewsticker","newsnea",NA
"1974","opsnewsticker","newssudan",NA
"1976","opsnewsticker","newsmahogany",NA
"1984","opsnewsticker","newsmahogany",NA
"1988","carsonjohnnie","cherylmills",NA
"1989","cherylmills","carsonjohnnie",NA
"1990","carsonjohnnie","cherylmills",NA
"1991","cherylmills","carsonjohnnie",NA
"2003","cherylmills","carsonjohnnie",NA
"2008","opsnewsticker","newseur",NA
"2014","opsnewsticker","newsegypt","1.4(D)"
"2016","opsnewsticker","newsegypt","1.4(D)"
"2020","mullstephend","cherylmills",NA
"2030","opsnewsticker","newsegypt","1.4(D)"
"2036","opsnewsticker","newsegypt","1.4(D)"
"2041","opsnewsticker","newsegypt","1.4(D)"
"2046","cherylmills","carsonjohnnie",NA
"2047","carsonjohnnie","cherylmills",NA
"2048","cherylmills","carsonjohnnie",NA
"2060","opsnewsticker","newsegypt","1.4(D)"
"2069","opsnewsticker","newsnea",NA
"2075","opsnewsticker","newsmahogany",NA
"2080","gordonphiliph","shermanwendyr","1.4(B),1.4(D)"
"2092","opsnewsticker","newsmahogany",NA
"2103","opsnewsticker","newsegypt","1.4(D)"
"2108","opsnewsticker","newsegypt","1.4(D)"
"2118","humaabedin","sullivanjacob",NA
"2120","sterntoddd","sullivanjacob",NA
"2122","valmorolona","humaabedin",NA
"2129","opsnewsticker","newsmahogany",NA
"2133","humaabedin","sullivanjacob",NA
"2135","campbellkurtm","sullivanjacob",NA
"2146","opsnewsticker","newsmahogany",NA
"2155","humaabedin","sullivanjacob",NA
"2157","sterntoddd","sullivanjacob",NA
"2169","klevorickcaitlinb","cherylmills",NA
"2170","caitlinklevorick","klevorickcaitlinb",NA
"2175","opsnewsticker","newsmahogany",NA
"2177","feltmanjeffreyd","sullivanjacob","1.4(D)"
"2183","cherylmills","mikeberman",NA
"2197","humaabedin","sullivanjacob",NA
"2199","sterntoddd","sullivanjacob",NA
"2203","hoffredericc","sullivanjacob",NA
"2213","opsnewsticker","newsafghanistan",NA
"2219","muntercameronp","sullivanjacob",NA
